reference_month,frn_id,group_name,performance_classification,business_model,orders,gmv_basket,delivery_fee,paid_delivery_fee,commission,service_fee,anticipation_fee,olp_fee,delivery_cost,occurrences_cost
2024-06,FRN_00001,GRUPO_103,STANDARD,MARKETPLACE,340,37188.65,2231.32,1673.49,5950.18,743.77,74.38,557.83,0.0,0.0
2024-06,FRN_00002,GRUPO_349,STANDARD,MARKETPLACE,150,6971.75,418.31,313.73,1115.48,139.44,13.94,104.58,0.0,0.0
2024-06,FRN_00003,GRUPO_271,STANDARD,MARKETPLACE,287,11602.18,696.13,522.1,1856.35,232.04,23.2,174.03,0.0,0.0
2024-06,FRN_00004,GRUPO_107,LONG_TAIL,MARKETPLACE,2,139.35,8.36,6.27,22.3,2.79,0.28,2.09,0.0,0.0
2024-06,FRN_00005,GRUPO_072,LONG_TAIL,MARKETPLACE,1,42.76,2.57,1.93,6.84,0.86,0.09,0.64,0.0,0.0
2024-06,FRN_00006,GRUPO_189,STANDARD,MARKETPLACE,368,28508.07,1710.48,1282.86,4561.29,570.16,57.02,427.62,0.0,0.0
2024-06,FRN_00007,GRUPO_021,LONG_TAIL,MARKETPLACE,45,1361.07,81.66,61.24,217.77,27.22,2.72,20.42,0.0,0.0
2024-06,FRN_00008,GRUPO_103,STANDARD,MARKETPLACE,322,13628.64,817.72,613.29,2180.58,272.57,27.26,204.43,0.0,0.0
2024-06,FRN_00009,GRUPO_122,STRATEGIC,MARKETPLACE,771,85300.9,5118.05,3838.54,13648.14,1706.02,170.6,1279.51,0.0,0.0
2024-06,FRN_00010,GRUPO_215,STRATEGIC,FULL_SERVICE,892,81337.61,6507.01,4880.26,9760.51,1626.75,406.69,1220.06,-4554.91,-650.7
2024-06,FRN_00011,GRUPO_331,STANDARD,MARKETPLACE,508,40655.13,2439.31,1829.48,6504.82,813.1,81.31,609.83,0.0,0.0
2024-06,FRN_00012,GRUPO_088,LONG_TAIL,MARKETPLACE,48,2628.33,157.7,118.27,420.53,52.57,5.26,39.42,0.0,0.0
2024-06,FRN_00013,GRUPO_373,LONG_TAIL,MARKETPLACE,33,1420.54,85.23,63.92,227.29,28.41,2.84,21.31,0.0,0.0
2024-06,FRN_00014,GRUPO_100,LONG_TAIL,MARKETPLACE,128,4631.95,277.92,208.44,741.11,92.64,9.26,69.48,0.0,0.0
2024-06,FRN_00015,GRUPO_360,STANDARD,MARKETPLACE,276,15795.22,947.71,710.78,2527.24,315.9,31.59,236.93,0.0,0.0
2024-06,FRN_00016,GRUPO_152,STANDARD,MARKETPLACE,170,13904.36,834.26,625.69,2224.7,278.09,27.81,208.57,0.0,0.0
2024-06,FRN_00017,GRUPO_131,STRATEGIC,MARKETPLACE,720,101837.59,6110.26,4582.69,16294.01,2036.75,203.68,1527.56,0.0,0.0
2024-06,FRN_00018,GRUPO_150,STANDARD,MARKETPLACE,374,35612.21,2136.73,1602.55,5697.95,712.24,71.22,534.18,0.0,0.0
2024-06,FRN_00019,GRUPO_309,STANDARD,MARKETPLACE,183,16094.28,965.66,724.25,2575.08,321.89,32.19,241.41,0.0,0.0
2024-06,FRN_00020,GRUPO_258,STRATEGIC,MARKETPLACE,858,55047.12,3302.83,2477.12,8807.54,1100.94,110.09,825.71,0.0,0.0
2024-06,FRN_00021,GRUPO_344,STANDARD,FULL_SERVICE,294,10677.09,854.17,640.63,1281.25,213.54,53.39,160.16,-597.92,-85.42
2024-06,FRN_00022,GRUPO_294,STANDARD,MARKETPLACE,358,31726.19,1903.57,1427.68,5076.19,634.52,63.45,475.89,0.0,0.0
2024-06,FRN_00023,GRUPO_386,LONG_TAIL,MARKETPLACE,99,4542.28,272.54,204.41,726.76,90.85,9.08,68.13,0.0,0.0
2024-06,FRN_00024,GRUPO_192,LONG_TAIL,MARKETPLACE,70,4744.55,284.67,213.5,759.13,94.89,9.49,71.17,0.0,0.0
2024-06,FRN_00025,GRUPO_277,LONG_TAIL,MARKETPLACE,34,1145.55,68.73,51.55,183.29,22.91,2.29,17.18,0.0,0.0
